"题目id：2169856
",问题:在精准扶贫工作中，精神贫困问题是摆在扶贫工作者面前的一大难题，解决好精神层面的问题，才能真正激发摆脱贫困的内生动力，提升自主脱贫能力。强调精神脱贫的重要性是因为[u]      [/u]。,,"
选项：['A', '.', '意', '识', '可', '以', '产', '生', '物', '质', '\n', 'B', '.', '意', '识', '可', '以', '转', '化', '为', '物', '质', '\n', 'C', '.', '精', '神', '力', '量', '可', '以', '派', '生', '出', '物', '质', '力', '量', '\n', 'D', '.', '意', '识', '可', '以', '直', '接', '改', '造', '世', '界', '\n']","
答案：1","
【解析】A项错误，唯物主义认为物质决定意识，意识是对客观存在的主观反映，因此意识不能产生物质。B项正确，“意识可以转化成物质”是指意识具有能动的反作用，意识通过指导实践，对物质进行加工改造，改变物质的具体形态，从而把意识中的“蓝图”转化为现实中存在的具体物质形态。题干中强调“精神脱贫”的目的是为了激发摆脱贫困的内生动力，提升自主脱贫能力，从而更好的指导实践。C项错误，唯物主义认为物质决定意识，意识是由物质派生而来，而不是意识派生物质。D项错误，意识不能直接改造世界，意识只有通过指导实践才能改造世界。故正确答案为B。","
来源:2018年3月18日山东省事业单位省属综合类考试题（客观题部分满分70分）第51题","
出错率：44.84%","
易错选项：2"
"题目id：1720832
",问题:同整个物质世界和物质运动一样，物质运动的具体形态和具体形式是永恒不变的过程。,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】辩证唯物主义认为，运动是物质的固有性质和存在方式，是物质所固有的根本属性。运动具有守恒性，即运动既不能被创造又不能被消灭，其具体形式则是多样的并且互相转化，在转化中运动总量不变。因此，物质运动是永恒的，但物质运动的具体形态和具体形式是可变的。故表述错误。","
来源:2013年4月天津市事业单位考试《综合基础知识》题第41题","
出错率：84.69%","
易错选项：0"
"题目id：1702914
",问题:与“兵无常势，水无常形”观点不一致的是（）。,,"
选项：['A', '.', '无', '物', '常', '驻', '，', '一', '切', '皆', '流', '\n', 'B', '.', '人', '永', '远', '不', '能', '两', '次', '踏', '进', '同', '一', '条', '河', '流', '\n', 'C', '.', '运', '动', '是', '绝', '对', '的', '，', '静', '止', '是', '相', '对', '的', '\n', 'D', '.', '天', '不', '变', '，', '道', '亦', '不', '变', '\n']","
答案：3","
【解析】“兵无常势，水无常形”出自《孙子兵法•虚实篇》，意思是用兵作战没有固定不变的方式方法，就像水流没有固定的形状一样，要依据敌情的变化不断调整作战方针。体现了一切事物都是运动的，运动是物质的存在方式和根本属性。通过无常势和无常形体现了运动的绝对性。C项观点与题干相符。A项正确，“无物常驻，一切皆流”是说事物是运动发展的，没有什么东西可以一直保持某种状态，与题干观点一致。B项正确，“人永远不能两次踏进同一条河流”是说这条河流一直都在流淌，也就是一直都在运动、发展，所以两次踏进的河流已经有所变化。反映了一切事物都是运动、变化、发展的，我们要用发展的眼光看待问题，与题干观点一致。D项是用静止的观点看问题，属于形而上学的观点，与题干观点不一致。本题为选非题，故正确答案为D。","
来源:2014年吉林省直事业单位考试《公共基础知识》题（精选）第11题","
出错率：80.36%","
易错选项：1"
"题目id：1710594
",问题:建设有中国特色社会主义的辩证唯物主义理论的依据是(  )。,,"
选项：['A', '.', '一', '切', '从', '实', '际', '出', '发', '，', '实', '事', '求', '是', '\n', 'B', '.', '运', '动', '和', '静', '止', '的', '辩', '证', '关', '系', '\n', 'C', '.', '具', '体', '问', '题', '具', '体', '分', '析', '的', '原', '理', '\n', 'D', '.', '矛', '盾', '普', '遍', '性', '和', '特', '殊', '性', '辩', '证', '关', '系', '\n']","
答案：0,2,3","
【解析】建设有中国特色的社会主义，就是一切从中国的实际出发，运用实事求是的观点，对中国的具体问题具体分析，从中国的实际情况出发，解决中国在社会主义建设中的问题。在建设社会主义道路的过程中，都会有这样或那样的问题存在，这是社会主义建设的普遍性，而中国有着自己特殊的国情，又有着自己的特殊性，体现了矛盾普遍性与特殊性的辩证关系。建设有中国特色社会主义并没有体现运动和静止的辩证关系和用发展眼光看问题。B、E不选。故正确答案为ACD。","
来源:2014年7月云南省大理州事业单位考试《公共基础知识》题第81题","
出错率：10.63%","
易错选项：4"
"题目id：2502148
",问题:1979年安徽凤阳县流行的歌谣:“大包干，真正好，干部群众都想搞，只要准搞三五年，吃陈粮，烧陈草。”这首歌谣颂扬的是材料中的（    ）。,,"
选项：['A', '.', '家', '庭', '联', '产', '承', '包', '责', '任', '制', '\n', 'B', '.', '乡', '镇', '企', '业', '异', '军', '突', '起', '\n', 'C', '.', '国', '有', '企', '业', '改', '革', '\n', 'D', '.', '振', '兴', '乡', '村', '战', '略', '\n']","
答案：0","
【解析】本题考查中国特色社会主义理论体系。A项正确，根据题干“大包干“、“个人富、集体富，国家还要盖仓库”等信息结合可知，1978年，农村施行家庭联产承包责任制，用包产到户和包干到户的方式进行改革，充分调动了农民的生产积极性，给农村和农民带来了新气象，农村经济迅速发展。B项错误，1984年中央4号文件正式提出发展乡镇企业的概念；90年代初，在长三角和珠三角地区，乡镇企业已经在当地GDP中“三分天下有其一”。乡镇企业异军突起，十几年时间，乡镇企业从无到有，占到中国工业增加值一半以上。C项错误，国有企业改革是中央实施做强做大国有企业方针的重大战略步骤，推进国有企业改革，要有利于国有资本保值增值，有利于提高国有经济竞争力，有利于放大国有资本功能。D项错误，十九大报告指出：“实施乡村振兴战略。农业农村农民问题是关系国计民生的根本性问题，必须始终把解决好‘三农’问题作为全党工作重中之重。要坚持农业农村优先发展，按照产业兴旺、生态宜居、乡风文明、治理有效、生活富裕的总要求，建立健全城乡融合发展体制机制和政策体系，加快推进农业农村现代化。”故正确答案为A。","
来源:2019年12月山东省济南市济阳、商河区事业单位考试精选题第91题","
出错率：94.2%","
易错选项：3"
"题目id：1702406
",问题:“衣食足而知荣辱，仓廪实而知礼节。”这充分说明荣辱观是社会物质财富的衍生物。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】该句话的原义指：（百姓的）粮仓充足，丰衣足食，才能顾及到礼仪，重视荣誉和耻辱。“仓廪实”、“衣食足”是“知礼节”、“知荣辱”的前提和基础，体现了物质决定意识，但荣辱观的形成并非简单地是物质财富的衍生物，而是受到了多方面的影响和制约。故表述错误。","
来源:2013年6月四川省德阳市事业单位考试 《综合基础知识》题（精选）第24题","
出错率：46.62%","
易错选项：0"
"题目id：2169864
",问题:习近平总书记强调，要把坚定理想信念作为党的思想建设的首要任务，教育引导全党牢记党的宗旨，挺起共产党人的精神脊梁，解决好世界观、人生观、价值观这个“总开关”问题。这是因为[u]      [/u]。,,"
选项：['A', '.', '有', '什', '么', '样', '的', '社', '会', '存', '在', '就', '有', '什', '么', '样', '的', '社', '会', '意', '识', '\n', 'B', '.', '正', '确', '的', '意', '识', '具', '有', '指', '导', '人', '们', '改', '造', '世', '界', '的', '功', '能', '\n', 'C', '.', '客', '观', '情', '况', '变', '了', '主', '观', '也', '要', '发', '生', '相', '应', '的', '变', '化', '\n', 'D', '.', '有', '什', '么', '样', '的', '世', '界', '观', '就', '有', '什', '么', '样', '的', '方', '法', '论', '\n']","
答案：1,3","
【解析】本题考查哲学常识。辩证唯物主义认为，物质决定意识，意识是对物质的反映，意识对物质具有能动的反作用，正确的意识会促进客观事物的发展，错误的意识会阻碍客观事物的发展。A项错误，社会存在决定社会意识，社会意识受社会存在的制约。“有什么样的社会存在就有什么样的社会意识”是指社会意识的内容来源于社会存在，或者说社会存在是社会意识产生的根源。强调社会存在决定社会意识，与题干无关。B项正确，物质决定意识，意识对物质具有能动的反作用，正确的意识能够指导人们积极的改造客观世界，因此我们要坚定理想信念，牢记党的宗旨，解决好世界观、人生观、价值观这个“总开关”。C项错误，题干中说的是要解决世界观、人生观、价值观这个“总开关”问题，也就是说要有正确的意识，用正确的意识指导实践，并没有提到客观情况发生了变化。因此，C选项中说客观发生变化主观就要相应变化，与题干无关。D项正确，世界观是人们对整个世界的基本看法和观点，方法论是指人们认识世界和改造世界所遵循的根本方法，世界观决定方法论，方法论体现世界观，因此我们要培养正确的、科学的世界观，坚定理想信念。故正确答案为BD。","
来源:2018年3月18日山东省事业单位省属综合类考试题（客观题部分满分70分）第73题","
出错率：38.66%","
易错选项：0"
"题目id：2502152
",问题:根据段③材料，以公有制经济为主体的多种所有制经济包括（    ）。1国有经济 2集体经济 3个体经济 4私营经济 5中外合资企业 6外商独资企业。,,"
选项：['A', '.', '1', '2', '3', '4', '\n', 'B', '.', '2', '3', '4', '5', '\n', 'C', '.', '1', '2', '3', '5', '6', '\n', 'D', '.', '1', '2', '3', '4', '5', '6', '\n']","
答案：3","
【解析】本题考查社会主义市场经济体制。以公有制为主体、多种所有制经济共同发展是我国社会主义初级阶段的基本经济制度。社会主义公有制经济包括：国有经济、集体经济以及混合所有制经济中的国有成分和集体成分；非公有制经济主要包括个体经济、私营经济、外资经济以及混合所有制经济中的非公有制成分等。1国有经济是指生产资料归国家所有的一种经济类型，是社会主义公有制经济的重要成分。国有经济是又称全民所有制经济，是国民经济的主导力量。它包括中央和地方各级国家机关、事业单位和社会团体使用国有资产投资举办的企业，也包括实行企业化经营，国家不再核拨经费或核拨部分经费的事业单位和从事经营性活动的社会团体，以及上述企业、事业单位和社会团体使用国有资金投资举办的企业。2集体经济，属于劳动群众集体所有、实行共同劳动、在分配方式上以按劳分配为主体的社会主义经济组织。在我国，集体经济是公有制经济的重要组成部分，分为农村集体经济与城镇集体经济。3个体经济，指在劳动者个人占有生产资料的基础上，从事个体劳动和个体经营的私有制经济。个体经济具有规模小、工具简单、操作方便、经营灵活等特点。4私营经济是指以生产资料私有和雇工劳动为基础，并以盈利为目的和按资分配为主的一种经济类型。在中国社会主义初级阶段中，由私人投资兴建，归私人所有，存在雇佣劳动关系的经济成份。在社会主义条件下，它同占优势的公有制经济相联系，并受公有制经济的巨大影响。5中外合资经营企业，是指中国合营者与外国合营者依照中国法律的规定，在中国境内共同投资、共同经营、并按投资比例分享利润、分担风险及亏损的企业。6外商独资企业指外国的公司、企业、其他经济组织或者个人，依照中国法律在中国境内设立的全部资本由外国投资者投资的企业。根据外资企业法的规定，设立外资企业必须有利于我国国民经济的发展，并国家鼓励采用国际先进技术和设备的、产品全部或者大部分出口的外资企业。可知，以公有制经济为主体的多种所有制经济包括包括：123456。故正确答案为D。","
来源:2019年12月山东省济南市济阳、商河区事业单位考试精选题第93题","
出错率：55.29%","
易错选项：0"
"题目id：1712650
",问题:从哲学角度来看，“心想事成”体现了（  ）。 ,,"
选项：['A', '.', '意', '识', '的', '能', '动', '性', '\n', 'B', '.', '矛', '盾', '的', '不', '可', '调', '和', '性', '\n', 'C', '.', '规', '律', '的', '客', '观', '性', '\n', 'D', '.', '真', '理', '的', '相', '对', '性', '\n']","
答案：0","
【解析】意识的能动性是指人的意识能够能动地反映客观事物并反作用于客观事物。意识的能动性首先表现在：意识不仅能够正确反映事物的外部现象，而且能够正确反映事物的本质和规律。其表现形式就是“想”，即想问题也就是认识世界。意识的能动性突出表现在：意识能够反作用于客观事物，正确的思想和理论通过人们的实践，能够促进客观事物的发展。其表现形式是“做”（或者行动、实践），即办事情也就是改造客观世界。此外，意识的能动性的另一种表现形式就是人类在认识世界和改造世界的活动中所具有的精神状态，即通常所说的决心、意志、干劲等。“心想事成”意指心里想到的都能成功。这体现的是人的意识所特有的积极反映世界与改造世界的能力与活动，即意识的能动性。故正确答案为A。","
来源:2012年浙江省淳安县事业单位考试《综合基础知识》题（精选）第17题","
出错率：96.13%","
易错选项：2"
"题目id：2042890
",问题:《三国演义》写尽了十八般兵器，但没有写到枪炮；《封神演义》写尽了商纣宫廷的奢华，却没有写到互联网、高尔夫。这是因为_____。,,"
选项：['A', '.', '意', '识', '活', '动', '缺', '乏', '主', '动', '创', '造', '性', '\n', 'B', '.', '意', '识', '的', '内', '容', '来', '自', '客', '观', '存', '在', '\n', 'C', '.', '作', '者', '的', '意', '识', '无', '法', '预', '见', '未', '来', '\n', 'D', '.', '人', '的', '意', '识', '促', '进', '事', '物', '的', '发', '展', '\n']","
答案：1","
【解析】A项错误，辩证唯物论认为意识活动具有目的性、计划性、主动创造性和自觉选择性。B项正确，小说中没有这些描述是因为当时的年代没有这些东西，人的头脑中不会有这种意识，说明意识是客观存在的主观映像，客观存在是意识的来源，离开客观存在就不会有意识的产生。C项错误，人的意识能够能动地认识世界和改造世界，能够预见未来。D项错误，意识具有双重性，正确的意识能够促进事物的发展，错误的意识则阻碍事物的发展。故正确答案为B。","
来源:2017年呼伦贝尔市事业单位公开招录考试《综合基础知识》题第11题","
出错率：90.18%","
易错选项：2"
"题目id：1702926
",问题:下列体现质量互变规律的是（）。,,"
选项：['A', '.', '天', '无', '三', '日', '晴', '\n', 'B', '.', '不', '经', '风', '雨', '，', '怎', '见', '彩', '虹', '\n', 'C', '.', '千', '里', '之', '堤', '，', '溃', '于', '蚁', '穴', '\n', 'D', '.', '兼', '听', '则', '明', '，', '偏', '听', '则', '暗', '\n']","
答案：2","
【解析】量变和质变的关系是对立统一的辩证关系，二者既相互区别，又相互联系、相互转化。一方面，量变是质变的前提和基础，质变是量变的必然结果；另一方面，质变又为新的量变创造条件，又开始新的量变。A项错误，“天无三日晴”体现了物质的运动性。B项错误，“不经风雨，怎见彩虹”体现了前进性与曲折性的统一。C项正确，“千里之堤，溃于蚁穴”体现了要注意量的积累，防微杜渐，体现了质量互变的观点。D项错误，“兼听则明，偏听则暗”体现了坚持全面地看问题、办事情的观点。故正确答案为C。","
来源:2014年吉林省直事业单位考试《公共基础知识》题（精选）第12题","
出错率：86.21%","
易错选项：3"
